Language	Text	Spker	Code_Spker	Sex	Duration	NbSyllables	SpeechRate	ShannonEntropy	ConditionalEntropy	InfoRate_ShannonEntropy	InfoRate_ConditionalEntropy
SPA	O9	F3(En)	SPA_F3(En)	F	10.29	79	7.68	8.32	5.43	63.88 	41.72 
SPA	P0	F3(En)	SPA_F3(En)	F	21.41	153	7.15	8.32	5.43	59.46 	38.83 
SPA	P1	F3(En)	SPA_F3(En)	F	19.44	137	7.05	8.32	5.43	58.63 	38.29 
SPA	P2	F3(En)	SPA_F3(En)	F	15.5	120	7.74	8.32	5.43	64.41 	42.07 
SPA	P3	F3(En)	SPA_F3(En)	F	16.48	119	7.22	8.32	5.43	60.08 	39.24 
SPA	P8	F3(En)	SPA_F3(En)	F	13.06	93	7.12	8.32	5.43	59.25 	38.69 
SPA	P9	F3(En)	SPA_F3(En)	F	17.18	119	6.93	8.32	5.43	57.63 	37.64 
SPA	Q0	F3(En)	SPA_F3(En)	F	16.44	126	7.66	8.32	5.43	63.77 	41.65 
SPA	Q1	F3(En)	SPA_F3(En)	F	11.17	81	7.25	8.32	5.43	60.33 	39.40 
SPA	O1	F3(Mo)	SPA_F3(Mo)	F	13.00	94	7.23	8.32	5.43	60.16 	39.29 
SPA	O2	F3(Mo)	SPA_F3(Mo)	F	18.38	135	7.34	8.32	5.43	61.11 	39.91 
SPA	O3	F3(Mo)	SPA_F3(Mo)	F	15.77	111	7.04	8.32	5.43	58.56 	38.25 
SPA	O4	F3(Mo)	SPA_F3(Mo)	F	20.4	152	7.45	8.32	5.43	61.99 	40.49 
SPA	O6	F3(Mo)	SPA_F3(Mo)	F	12.84	103	8.02	8.32	5.43	66.74 	43.59 
SPA	O8	F3(Mo)	SPA_F3(Mo)	F	17.81	136	7.64	8.32	5.43	63.53 	41.49 
SPA	O9	F3(Mo)	SPA_F3(Mo)	F	10.41	79	7.59	8.32	5.43	63.14 	41.24 
SPA	P0	F3(Mo)	SPA_F3(Mo)	F	22.12	153	6.92	8.32	5.43	57.55 	37.58 
SPA	P1	F3(Mo)	SPA_F3(Mo)	F	19.49	137	7.03	8.32	5.43	58.48 	38.19 
