Speaker	Sex	Language	Text	Duration	NS	SR	ShE	ID	ShIR	IR	Age
YUE_M2(Ka)	M	YUE	O2	13.13	80	6.09	7.97	6.53	48.56	39.81	20
YUE_M2(Ka)	M	YUE	O3	16.62	96	5.78	7.97	6.53	46.04	37.75	20
YUE_M2(Ka)	M	YUE	O4	12.36	69	5.58	7.97	6.53	44.49	36.48	20
YUE_M2(Ka)	M	YUE	O6	14.51	80	5.51	7.97	6.53	43.94	36.03	20
YUE_M2(Ka)	M	YUE	O8	14.56	92	6.32	7.97	6.53	50.36	41.29	20
YUE_M2(Ka)	M	YUE	O9	9.61	56	5.83	7.97	6.53	46.44	38.08	20
YUE_M2(Ka)	M	YUE	P0	17.59	102	5.8	7.97	6.53	46.22	37.89	20
YUE_M2(Ka)	M	YUE	P1	15.5	88	5.68	7.97	6.53	45.25	37.1	20
YUE_M2(Ka)	M	YUE	P2	13.47	78	5.79	7.97	6.53	46.15	37.84	20
YUE_M2(Ka)	M	YUE	P3	14.06	83	5.9	7.97	6.53	47.05	38.58	20
YUE_M2(Ka)	M	YUE	P8	14.18	77	5.43	7.97	6.53	43.28	35.48	20
YUE_M2(Ka)	M	YUE	P9	15.61	90	5.77	7.97	6.53	45.95	37.68	20
YUE_M2(Ka)	M	YUE	Q0	15.37	88	5.73	7.97	6.53	45.63	37.41	20
YUE_M2(Ka)	M	YUE	Q1	12.6	73	5.79	7.97	6.53	46.18	37.86	20
YUE_M3(Bra)	M	YUE	O1	10.29	59	5.73	7.97	6.53	45.7	37.47	22
YUE_M3(Bra)	M	YUE	O2	14.54	80	5.5	7.97	6.53	43.85	35.95	22
YUE_M3(Bra)	M	YUE	O3	17.95	96	5.35	7.97	6.53	42.63	34.95	22
YUE_M3(Bra)	M	YUE	O4	12.99	69	5.31	7.97	6.53	42.33	34.71	22
YUE_M3(Bra)	M	YUE	O6	15.42	80	5.19	7.97	6.53	41.35	33.9	22
YUE_M3(Bra)	M	YUE	O8	15.93	92	5.78	7.97	6.53	46.03	37.74	22
YUE_M3(Bra)	M	YUE	O9	9.85	56	5.69	7.97	6.53	45.31	37.15	22
YUE_M3(Bra)	M	YUE	P0	17.48	102	5.84	7.97	6.53	46.51	38.13	22
YUE_M3(Bra)	M	YUE	P1	15.29	88	5.76	7.97	6.53	45.87	37.61	22
YUE_M3(Bra)	M	YUE	P2	13.7	78	5.69	7.97	6.53	45.38	37.2	22
YUE_M3(Bra)	M	YUE	P3	16.32	83	5.09	7.97	6.53	40.53	33.23	22
YUE_M3(Bra)	M	YUE	P8	14.73	77	5.23	7.97	6.53	41.66	34.16	22
YUE_M3(Bra)	M	YUE	P9	16.97	90	5.3	7.97	6.53	42.27	34.66	22
YUE_M3(Bra)	M	YUE	Q0	17.44	88	5.05	7.97	6.53	40.22	32.97	22
YUE_M3(Bra)	M	YUE	Q1	13.65	73	5.35	7.97	6.53	42.62	34.95	22
YUE_M4(Al)	M	YUE	O2	13.82	80	5.79	7.97	6.53	46.14	37.83	24
YUE_M4(Al)	M	YUE	O3	15.86	96	6.05	7.97	6.53	48.24	39.55	24
YUE_M4(Al)	M	YUE	O4	12.14	69	5.68	7.97	6.53	45.3	37.14	24
YUE_M4(Al)	M	YUE	O6	13.53	80	5.91	7.97	6.53	47.12	38.64	24
YUE_M4(Al)	M	YUE	O8	14.26	92	6.45	7.97	6.53	51.42	42.16	24
YUE_M4(Al)	M	YUE	O9	9.5	56	5.89	7.97	6.53	46.98	38.52	24
YUE_M4(Al)	M	YUE	P0	17.83	102	5.72	7.97	6.53	45.59	37.38	24
YUE_M4(Al)	M	YUE	P1	14.84	88	5.93	7.97	6.53	47.26	38.75	24
YUE_M4(Al)	M	YUE	P2	14.12	78	5.52	7.97	6.53	44.03	36.1	24
YUE_M4(Al)	M	YUE	P3	14.34	83	5.79	7.97	6.53	46.13	37.82	24
YUE_M4(Al)	M	YUE	P8	13.9	77	5.54	7.97	6.53	44.15	36.2	24
YUE_M4(Al)	M	YUE	P9	15.64	90	5.75	7.97	6.53	45.86	37.6	24
YUE_M4(Al)	M	YUE	Q0	15.07	88	5.84	7.97	6.53	46.54	38.16	24
YUE_M4(Al)	M	YUE	Q1	12.66	73	5.77	7.97	6.53	45.96	37.68	24
YUE_M5(Ed)	M	YUE	O1	10.83	59	5.45	7.97	6.53	43.42	35.6	22
YUE_M5(Ed)	M	YUE	O2	13.56	80	5.9	7.97	6.53	47.02	38.55	22
YUE_M5(Ed)	M	YUE	O3	17.73	96	5.41	7.97	6.53	43.15	35.38	22
YUE_M5(Ed)	M	YUE	O4	12.95	69	5.33	7.97	6.53	42.47	34.82	22
YUE_M5(Ed)	M	YUE	O6	13.61	80	5.88	7.97	6.53	46.85	38.41	22
YUE_M5(Ed)	M	YUE	O8	15.17	92	6.06	7.97	6.53	48.33	39.63	22
YUE_M5(Ed)	M	YUE	O9	9.73	56	5.76	7.97	6.53	45.87	37.61	22
YUE_M5(Ed)	M	YUE	P0	16.83	102	6.06	7.97	6.53	48.3	39.6	22
YUE_M5(Ed)	M	YUE	P1	14.75	88	5.97	7.97	6.53	47.55	38.99	22
YUE_M5(Ed)	M	YUE	P2	14.19	78	5.5	7.97	6.53	43.81	35.92	22
YUE_M5(Ed)	M	YUE	P3	14.5	83	5.72	7.97	6.53	45.62	37.41	22
