soundname	 nsyll	 npause	 dur	 phonationtime
KOR_F3_Eu__P0	101	3	22.06	18.25
KOR_F3_Eu__P1	87	4	20.62	16.86
KOR_F3_Eu__P2	91	3	22.06	17.78
KOR_F3_Eu__P3	101	6	23.73	19.49
KOR_F3_Eu__P8	82	2	18.34	14.96
KOR_F3_Eu__P9	94	4	21.87	17.62
KOR_F3_Eu__Q0	89	5	20.2	15.73
KOR_F3_Eu__Q1	82	3	19.78	16.41
KOR_F4_Hy__O1	68	4	16.81	14.02
KOR_F4_Hy__O2	84	7	20.43	16.48
KOR_F4_Hy__O3	93	7	23.92	19.78
KOR_F4_Hy__O4	107	7	26.05	21.7
KOR_F4_Hy__O6	90	5	20.67	17.11
KOR_F4_Hy__O8	116	7	25.31	21.01
KOR_F4_Hy__O9	68	5	17.46	14.26
KOR_F4_Hy__P0	114	8	26.61	21.74
KOR_F4_Hy__P1	102	5	23.92	19.8
KOR_F4_Hy__P2	101	6	24.24	20.24
KOR_F4_Hy__P3	104	8	24.61	20.01
KOR_F4_Hy__P8	97	6	21.78	17.96
KOR_F4_Hy__P9	106	8	27.03	21.74
KOR_F4_Hy__Q0	93	7	23.45	19.02
KOR_F4_Hy__Q1	96	6	24.98	20.18
KOR_F6_Jw__O1	62	4	14.81	11.57
KOR_F6_Jw__O2	82	4	17.55	14.58
KOR_F6_Jw__O3	87	6	19.83	16.12
KOR_F6_Jw__O4	96	6	22.89	19.14
KOR_F6_Jw__O6	76	4	17.18	14.27
KOR_F6_Jw__O8	102	6	20.9	17.13
KOR_F6_Jw__O9	71	4	15.42	12.49
KOR_F6_Jw__P0	108	6	21.92	18.03
KOR_F6_Jw__P1	88	4	20.2	16.76
KOR_F6_Jw__P2	101	4	19.5	16.51
KOR_F6_Jw__P3	100	6	20.06	16.37
KOR_F6_Jw__P8	87	4	18.48	15.14
KOR_F6_Jw__P9	102	5	20.43	16.98
KOR_F6_Jw__Q0	98	4	17.79	14.86
KOR_F6_Jw__Q1	81	4	18.76	15.09
KOR_M1_Sa__O1	57	4	14.91	11.87
KOR_M1_Sa__O2	75	5	18.3	14.5
KOR_M1_Sa__O3	78	5	19.97	16.27
KOR_M1_Sa__O4	84	8	22.85	18.02
KOR_M1_Sa__O6	75	4	18.11	14.95
KOR_M1_Sa__O8	103	7	23.55	18.75
KOR_M1_Sa__O9	62	5	16.02	12.66
KOR_M1_Sa__P0	98	10	24.52	18.98
KOR_M1_Sa__P1	82	5	20.76	16.96
KOR_M1_Sa__P2	90	7	21.78	17.4
KOR_M1_Sa__P3	89	5	21.13	17.09
KOR_M1_Sa__P8	84	7	20.15	15.7
KOR_M1_Sa__P9	89	7	22.15	17.39
KOR_M1_Sa__Q0	77	6	20.02	15
KOR_M1_Sa__Q1	76	7	20.2	15.9
KOR_M2_Do__O1	76	3	15.23	13.26
KOR_M2_Do__O2	97	6	20.48	17.52
KOR_M2_Do__O3	98	4	21.27	18.66
KOR_M2_Do__O4	110	7	25.22	21.61
KOR_M2_Do__O6	89	4	20.39	17.83
KOR_M2_Do__O8	114	7	25.12	22.07
KOR_M2_Do__O9	74	4	16.21	13.99
KOR_M2_Do__P0	112	6	25.59	22.18
KOR_M2_Do__P1	105	5	23.31	20.39
KOR_M2_Do__P2	114	5	23.36	20.6
KOR_M2_Do__P3	107	5	23.22	20.51
KOR_M2_Do__P8	105	4	22.01	18.84
KOR_M2_Do__P9	111	5	23.5	20.28
KOR_M2_Do__Q0	97	5	20.99	18.15
KOR_M2_Do__Q1	91	5	20.81	17.88
KOR_M3_Sh__O1	50	4	12.54	9.06
KOR_M3_Sh__O2	64	4	15.74	12.07
KOR_M3_Sh__O3	75	4	17.23	13.72
KOR_M3_Sh__O4	84	7	19.92	15.77
KOR_M3_Sh__O6	72	5	15.79	12.2
KOR_M3_Sh__O8	83	6	18.67	14.89
KOR_M3_Sh__O9	50	4	13.1	9.61
KOR_M3_Sh__P0	81	6	22.11	17.08
KOR_M3_Sh__P1	78	5	17.46	13.63
KOR_M3_Sh__P2	83	4	17.55	13.88
KOR_M3_Sh__P3	76	6	18.11	14
KOR_M3_Sh__P8	72	4	17.32	13.47
KOR_M3_Sh__P9	82	4	18.72	14.92
KOR_M3_Sh__Q0	75	5	16.25	12.69
KOR_M3_Sh__Q1	69	4	15.56	12.12
KOR_M4_Ju__O1	69	4	15.33	11.78
KOR_M4_Ju__O2	84	5	18.48	13.33
KOR_M4_Ju__O3	80	4	17.97	14.26
KOR_M4_Ju__O4	103	8	24.1	19.29
KOR_M4_Ju__O6	84	5	18.85	14.87
KOR_M4_Ju__O8	107	8	23.64	18.4
KOR_M4_Ju__O9	59	6	15.42	11.91
KOR_M4_Ju__P0	107	8	24.15	19.49
KOR_M4_Ju__P1	99	8	22.11	17.11
KOR_M4_Ju__P2	95	6	20.57	16.69
KOR_M4_Ju__P3	96	8	22.52	17.73
KOR_M4_Ju__P8	89	8	20.2	15.5
KOR_M4_Ju__P9	97	6	21.32	17.06
KOR_M4_Ju__Q0	81	6	19.41	15.19
KOR_M4_Ju__Q1	78	7	18.48	14.25
KOR_M5_Jh__O1	66	4	15.74	12.22
KOR_M5_Jh__O2	79	5	21.13	15.81
KOR_M5_Jh__O3	84	7	24.24	18.57
KOR_M5_Jh__O4	106	7	26.61	21.4
KOR_M5_Jh__O6	80	4	20.48	15.72
KOR_M5_Jh__O8	106	7	26.47	20.3
KOR_M5_Jh__O9	57	6	18.62	13.26
KOR_M5_Jh__P0	102	7	25.59	19.87
KOR_M5_Jh__P1	88	5	23.41	18.17
KOR_M5_Jh__P2	100	7	26.8	20.47
KOR_M5_Jh__P3	91	8	24.8	19.1
KOR_M5_Jh__P8	90	5	22.57	17.27
KOR_M5_Jh__P9	97	4	23.78	18.96
KOR_M5_Jh__Q0	93	6	22.24	17.27
KOR_M5_Jh__Q1	90	4	22.24	17.55
SPA_F1_Am__O1	60	4	14.68	11.4
SPA_F1_Am__O2	93	4	20.85	17.51
SPA_F1_Am__O3	88	4	18.07	14.89
SPA_F1_Am__O4	114	5	23.27	19.35
SPA_F1_Am__O6	72	4	15.65	12.68
SPA_F1_Am__O8	101	5	20.25	16.85
SPA_F1_Am__O9	52	3	12.68	9.29
SPA_F1_Am__P0	117	8	26.33	20.99
SPA_F1_Am__P1	105	4	21.64	18.17
SPA_F1_Am__P2	80	4	17.51	14.14
SPA_F1_Am__P3	87	5	19.74	16.22
SPA_F1_Am__P8	73	4	15.09	11.54
SPA_F1_Am__P9	91	7	19.97	15.26
SPA_F1_Am__Q0	79	5	17.28	14.03
SPA_F1_Am__Q1	59	5	13.7	10.08
SPA_F1_Su__O1	74	6	14.81	11.73
SPA_F1_Su__O2	104	5	20.71	17.5
SPA_F1_Su__O3	94	6	18.81	14.71
SPA_F1_Su__O4	115	7	23.5	19.41
SPA_F1_Su__O6	70	3	15.7	12.92
SPA_F1_Su__O8	102	4	20.62	17.12
SPA_F1_Su__O9	59	3	11.7	9.5
SPA_F1_Su__P0	117	7	25.77	20.97
SPA_F1_Su__P1	113	4	20.94	17.72
SPA_F1_Su__P2	86	5	18.11	14.51
SPA_F1_Su__P3	82	7	20.34	14.86
SPA_F1_Su__P8	75	5	17.37	12.8
SPA_F1_Su__P9	96	9	20.76	16.01
SPA_F1_Su__Q0	92	6	20.43	15.81
SPA_F1_Su__Q1	64	5	14.49	10.65
SPA_F2_De__O1	66	3	13.65	11.39
SPA_F2_De__O2	96	4	19.32	16.52
SPA_F2_De__O3	88	3	16.53	13.96
SPA_F2_De__O4	103	4	21.87	18.75
SPA_F2_De__O6	68	2	14.21	12.18
SPA_F2_De__O8	91	4	20.2	16.9
SPA_F2_De__O9	61	1	11.33	9.68
SPA_F2_De__P0	121	6	24.71	20.91
SPA_F2_De__P1	101	3	20.02	17.12
SPA_F2_De__P2	84	2	16.49	14.12
SPA_F2_De__P3	87	4	17.74	14.58
SPA_F2_De__P8	72	4	16.49	12.02
SPA_F2_De__P9	86	5	18.3	15.52
SPA_F2_De__Q0	88	4	19.63	15.73
SPA_F2_De__Q1	63	4	13.14	10.54
SPA_F3_En__O1	73	4	15.88	13.03
SPA_F3_En__O2	107	6	21.83	18.59
SPA_F3_En__O3	91	5	18.3	15.74
SPA_F3_En__O4	120	8	25.63	21.07
SPA_F3_En__O6	83	4	15.23	12.88
SPA_F3_En__O8	108	6	21.64	18.01
SPA_F3_En__O9	65	4	12.96	10.29
SPA_F3_En__P0	125	7	25.26	21.41
SPA_F3_En__P1	111	5	22.62	19.44
SPA_F3_En__P2	92	6	18.99	15.5
SPA_F3_En__P3	92	6	20.34	16.48
SPA_F3_En__P8	78	5	15.98	13.06
SPA_F3_En__P9	96	8	21.41	17.18
SPA_F3_En__Q0	93	8	20.43	16.44
SPA_F3_En__Q1	64	4	14.02	11.17
SPA_F3_Mo__O1	79	5	16.25	13
SPA_F3_Mo__O2	115	6	21.78	18.38
SPA_F3_Mo__O3	90	5	19.5	15.77
SPA_F3_Mo__O4	116	6	24.01	20.4
SPA_F3_Mo__O6	76	3	15.6	12.84
SPA_F3_Mo__O8	113	4	20.9	17.81
SPA_F3_Mo__O9	66	3	12.82	10.41
SPA_F3_Mo__P0	128	5	25.36	22.12
SPA_F3_Mo__P1	121	4	22.2	19.49
SPA_F3_Mo__P2	96	4	19.23	16.4
SPA_F3_Mo__P3	93	5	19.33	15.87
SPA_F3_Mo__P8	76	4	14.77	12.08
SPA_F3_Mo__P9	103	8	21.78	17.75
SPA_F3_Mo__Q0	94	8	19.88	16.14
SPA_F3_Mo__Q1	69	4	14.49	11.85
SPA_M1_Bo__O1	73	3	15.56	12.4
SPA_M1_Bo__O2	108	5	19.27	15.75
SPA_M1_Bo__O3	87	5	18.76	14.33
SPA_M1_Bo__O4	121	5	22.43	18.96
SPA_M1_Bo__O6	75	4	14.54	11.8
SPA_M1_Bo__O8	102	5	19.6	16.49
SPA_M1_Bo__O9	64	4	12.59	9.49
SPA_M1_Bo__P0	126	7	24.24	19.95
SPA_M1_Bo__P1	116	4	20.85	17.64
SPA_M1_Bo__P2	88	4	17.88	14.23
SPA_M1_Bo__P3	101	5	18.2	15.06
SPA_M1_Bo__P8	78	4	15	12.18
SPA_M1_Bo__P9	90	5	19.04	15.59
SPA_M1_Bo__Q0	93	4	18.72	15.23
SPA_M1_Bo__Q1	61	4	12.59	9.73
SPA_M4_In__O1	75	6	16.44	11.85
SPA_M4_In__O2	100	7	22.34	17.24
SPA_M4_In__O3	91	7	20.02	15.49
SPA_M4_In__O4	119	10	25.96	19.8
SPA_M4_In__O6	79	6	18.02	13.08
SPA_M4_In__O8	105	5	21.5	17.62
SPA_M4_In__O9	64	4	13.37	10.48
SPA_M4_In__P0	130	10	28.89	22.13
SPA_M4_In__P1	120	4	22.85	18.8
SPA_M4_In__P2	93	4	18.76	15.69
SPA_M4_In__P3	99	9	21.22	16.42
SPA_M4_In__P8	76	4	16.39	13.04
SPA_M4_In__P9	98	8	21.04	16.59
SPA_M4_In__Q0	97	5	20.99	16.17
SPA_M4_In__Q1	66	5	15.23	11.01
SPA_M4_Ma__O1	80	7	18.99	12.72
SPA_M4_Ma__O2	107	8	22.62	16.58
SPA_M4_Ma__O3	90	9	19.97	14.08
SPA_M4_Ma__O4	113	10	24.98	18.58
SPA_M4_Ma__O6	67	7	17.55	11.88
SPA_M4_Ma__O8	103	7	20.81	15.58
SPA_M4_Ma__O9	66	6	14.72	10.1
SPA_M4_Ma__P0	124	11	28.93	20.82
SPA_M4_Ma__P1	108	6	22.71	17.66
SPA_M4_Ma__P2	90	7	20.85	15.01
SPA_M4_Ma__P3	96	9	21.69	15.3
SPA_M4_Ma__P8	80	8	17.79	12.68
SPA_M4_Ma__P9	89	9	21.04	15.2
SPA_M4_Ma__Q0	89	9	21.64	15.22
SPA_M4_Ma__Q1	64	5	15.7	10.93
SPA_M5_Ax__O1	66	4	16.3	12.92
SPA_M5_Ax__O2	96	6	21.73	17.51
SPA_M5_Ax__O3	84	9	21.41	15.49
SPA_M5_Ax__O4	109	7	22.94	19.65
SPA_M5_Ax__O6	72	6	17.65	13.17
SPA_M5_Ax__O8	97	5	21.64	17.41
SPA_M5_Ax__O9	55	5	14.02	10.29
SPA_M5_Ax__P0	114	10	25.73	20.97
SPA_M5_Ax__P1	98	5	22.62	18.1
SPA_M5_Ax__P2	85	5	19.46	15.39
SPA_M5_Ax__P3	86	7	19.92	16.17
SPA_M5_Ax__P8	72	5	17.23	13.39
SPA_M5_Ax__P9	79	9	21.32	16.34
SPA_M5_Ax__Q0	87	5	21.36	17.09
SPA_M5_Ax__Q1	63	7	16.39	11.78
SPA_M5_Jo__O1	53	2	13.19	10.67
SPA_M5_Jo__O2	84	6	20.62	16.92
SPA_M5_Jo__O3	69	3	18.02	14.1
SPA_M5_Jo__O4	83	5	20.76	16.96
SPA_M5_Jo__O6	59	2	15.37	12.44
SPA_M5_Jo__O8	90	3	19.74	16.56
SPA_M5_Jo__O9	55	3	12.68	9.89
SPA_M5_Jo__P0	90	4	24.38	20.58
SPA_M5_Jo__P1	97	4	22.2	18.23
SPA_M5_Jo__P2	72	3	19.09	15.57
SPA_M5_Jo__P3	71	7	20.94	16.21
SPA_M5_Jo__P8	50	7	15.65	11.44
SPA_M5_Jo__P9	71	7	21.69	16.34
SPA_M5_Jo__Q0	64	7	20.48	15.32
SPA_M5_Jo__Q1	55	5	15.56	11.47
SRP_F1_Li__O1	69	2	14.35	11.68
SRP_F1_Li__O2	71	3	16.81	14.02
SRP_F1_Li__O3	83	2	19.23	16.85
SRP_F1_Li__O4	95	3	20.94	17.57
SRP_F1_Li__O6	70	3	15.28	13.34
SRP_F1_Li__O8	80	2	16.16	14
SRP_F1_Li__O9	55	2	13.47	10.65
SRP_F1_Li__P0	99	4	22.85	19.73
SRP_F1_Li__P1	77	4	20.34	16.42
SRP_F1_Li__P2	74	3	16.53	13.34
SRP_F1_Li__P3	103	4	22.11	18.69
SRP_F1_Li__P8	78	3	17.97	15.08
SRP_F1_Li__P9	93	4	20.62	16.88
SRP_F1_Li__Q0	67	3	17.32	14.55
SRP_F1_Li__Q1	65	2	14.07	12.03
SRP_F2_Le__O1	70	4	16.39	13.02
SRP_F2_Le__O2	75	3	17.41	14.88
SRP_F2_Le__O3	95	3	20.71	18.07
SRP_F2_Le__O4	96	3	21.97	19.48
SRP_F2_Le__O6	77	3	17.97	15.07
SRP_F2_Le__O8	82	4	18.99	15.71
SRP_F2_Le__O9	58	3	13.93	11.74
SRP_F2_Le__P0	107	3	24.06	20.98
SRP_F2_Le__P1	93	2	21.55	18.04
SRP_F2_Le__P2	73	3	16.67	14.2
SRP_F2_Le__P3	102	3	22.66	19.46
SRP_F2_Le__P8	81	3	19.78	16.78
SRP_F2_Le__P9	92	3	20.85	17.8
SRP_F2_Le__Q0	84	3	18.95	15.81
SRP_F2_Le__Q1	81	3	17.93	14.65
SRP_F3_Je__O1	66	0	12.45	10.8
SRP_F3_Je__O2	73	1	13.28	11.74
SRP_F3_Je__O3	89	1	18.99	17.07
SRP_F3_Je__O4	88	1	17.28	15.31
SRP_F3_Je__O6	70	1	14.16	12.65
SRP_F3_Je__O8	90	0	14.81	13.67
SRP_F3_Je__O9	57	1	11.94	10.17
SRP_F3_Je__P0	99	1	18.3	15.94
SRP_F3_Je__P1	84	0	16.21	14.23
SRP_F3_Je__P2	67	0	12.96	11.19
SRP_F3_Je__P3	104	1	17.79	15.57
SRP_F3_Je__P8	75	1	15.14	13.54
SRP_F3_Je__P9	97	1	17	15.03
SRP_F3_Je__Q0	77	0	19.6	13.61
SRP_F3_Je__Q1	75	0	12.72	11.67
SRP_F4_So__O1	61	2	15.37	12.08
SRP_F4_So__O2	75	4	17.74	13.77
SRP_F4_So__O3	86	4	21.22	16.62
SRP_F4_So__O4	99	3	21.36	18.01
SRP_F4_So__O6	81	4	19.04	14.12
SRP_F4_So__O8	82	2	18.72	15
SRP_F4_So__O9	58	3	14.63	10.41
SRP_F4_So__P0	104	4	22.34	18.13
SRP_F4_So__P1	83	4	20.71	16.12
SRP_F4_So__P2	71	2	16.44	12.81
SRP_F4_So__P3	100	4	22.71	18.41
SRP_F4_So__P8	87	4	19.13	15.1
SRP_F4_So__P9	88	4	20.29	16.11
SRP_F4_So__Q0	77	3	18.34	14.71
SRP_F4_So__Q1	78	4	17.41	12.93
SRP_F5_Ol__O1	78	5	18.11	14.23
SRP_F5_Ol__O2	83	6	20.25	16.97
SRP_F5_Ol__O3	99	6	24.75	20.15
SRP_F5_Ol__O4	106	7	26.94	21.96
SRP_F5_Ol__O6	77	6	22.34	17.32
SRP_F5_Ol__O8	85	5	21.64	17.69
SRP_F5_Ol__O9	67	4	17.09	12.96
SRP_F5_Ol__P0	128	7	29.16	24.94
SRP_F5_Ol__P1	100	5	26.24	21.17
SRP_F5_Ol__P2	79	5	20.62	15.87
SRP_F5_Ol__P3	110	6	27.17	22.17
SRP_F5_Ol__P8	89	6	22.99	18.3
SRP_F5_Ol__P9	105	8	26.28	20.68
SRP_F5_Ol__Q0	78	6	22.71	17.69
SRP_F5_Ol__Q1	82	5	20.53	16.37
SRP_M1_Go__O1	59	4	13.89	11.28
SRP_M1_Go__O2	60	7	15.98	12.59
SRP_M1_Go__O3	77	6	20.15	16.07
SRP_M1_Go__O4	79	6	20.76	16.78
SRP_M1_Go__O6	56	6	16.44	12.34
SRP_M1_Go__O8	70	6	16.86	13.46
SRP_M1_Go__O9	50	5	13.51	10.51
SRP_M1_Go__P0	83	5	21.46	17.73
SRP_M1_Go__P1	78	5	19.78	15.78
SRP_M1_Go__P2	59	5	16.25	13.05
SRP_M1_Go__P3	85	6	21.13	17.42
SRP_M1_Go__P8	73	7	18.02	14.28
SRP_M1_Go__P9	86	9	21.46	16.44
SRP_M1_Go__Q0	63	3	16.81	14.05
SRP_M1_Go__Q1	67	4	15.93	12.47
SRP_M2_Iv__O1	67	3	14.12	11.61
SRP_M2_Iv__O2	72	3	19.04	13.66
SRP_M2_Iv__O3	88	6	20.53	16.55
SRP_M2_Iv__O4	99	4	22.34	18.63
SRP_M2_Iv__O6	69	4	16.16	13.49
SRP_M2_Iv__O8	88	4	18.16	15.25
SRP_M2_Iv__O9	57	4	13.28	10.58
SRP_M2_Iv__P0	100	4	22.48	19.43
SRP_M2_Iv__P1	88	4	20.53	16.45
SRP_M2_Iv__P2	71	4	16.3	13.34
SRP_M2_Iv__P3	107	5	22.11	18.49
SRP_M2_Iv__P8	81	4	18.81	15.7
SRP_M2_Iv__P9	87	6	19.78	16
SRP_M2_Iv__Q0	64	3	18.2	12.86
SRP_M2_Iv__Q1	78	2	15.74	13.51
SRP_M3_Pe__O1	64	4	15.65	11.92
SRP_M3_Pe__O2	70	4	17.83	13.95
SRP_M3_Pe__O3	79	5	19.5	15.52
SRP_M3_Pe__O4	91	5	21.92	17.9
SRP_M3_Pe__O6	69	7	18.76	13.67
SRP_M3_Pe__O8	73	7	19.13	14.07
SRP_M3_Pe__O9	59	6	15.7	11.1
SRP_M3_Pe__P0	99	7	25.91	20.37
SRP_M3_Pe__P1	84	4	20.9	16.62
SRP_M3_Pe__P2	72	6	18.11	13.67
SRP_M3_Pe__P3	100	5	23.82	17.65
SRP_M3_Pe__P8	75	7	19.83	15.27
SRP_M3_Pe__P9	89	7	22.76	17.58
SRP_M3_Pe__Q0	67	7	18.85	14.74
SRP_M3_Pe__Q1	75	6	16.95	13.23
SRP_M4_Vo__O1	67	3	12.86	10.54
SRP_M4_Vo__O2	67	5	15.79	11.97
SRP_M4_Vo__O3	91	4	18.3	15.49
SRP_M4_Vo__O4	84	4	19.83	16.68
SRP_M4_Vo__O6	64	3	14.4	11.79
SRP_M4_Vo__O8	77	3	15.74	13.24
SRP_M4_Vo__O9	56	1	10.91	9.32
SRP_M4_Vo__P0	97	4	19.97	16.64
SRP_M4_Vo__P1	79	4	16.9	14.01
SRP_M4_Vo__P2	67	3	13.84	11.56
SRP_M4_Vo__P3	93	4	18.07	15.55
SRP_M4_Vo__P8	75	4	16.25	13.45
SRP_M4_Vo__P9	88	3	17.51	14.84
SRP_M4_Vo__Q0	65	1	14.63	12.1
SRP_M4_Vo__Q1	63	2	14.12	11.41
SRP_M5_Ste__O1	66	4	14.86	12.08
SRP_M5_Ste__O2	76	3	18.2	14.98
SRP_M5_Ste__O3	91	4	20.9	17.89
SRP_M5_Ste__O4	94	5	22.43	19.4
SRP_M5_Ste__O6	69	3	16.81	14.1
SRP_M5_Ste__O8	81	7	19.23	15.52
SRP_M5_Ste__O9	55	3	13.79	11.08
SRP_M5_Ste__P0	97	9	26.1	20
SRP_M5_Ste__P1	92	4	21.41	17.72
SRP_M5_Ste__P2	68	5	16.35	13.42
SRP_M5_Ste__P3	97	6	22.62	18.88
SRP_M5_Ste__P8	82	6	19.88	16.32
SRP_M5_Ste__P9	87	4	22.2	17.57
SRP_M5_Ste__Q0	77	3	17.65	15.08
SRP_M5_Ste__Q1	72	5	16.72	13.53
THA_F1_Ja__O1_thai	78	4	17	14.71
THA_F1_Ja__O2_thai	77	5	19.88	15.31
THA_F1_Ja__O3_thai	92	7	22.94	18.82
THA_F1_Ja__O4_thai	130	9	30.6	26.18
THA_F1_Ja__O6_thai	85	6	20.94	17.6
THA_F1_Ja__O8_thai	114	6	26.19	22.45
THA_F1_Ja__O9_thai	60	5	16.44	13.42
THA_F1_Ja__P0_thai	114	8	27.07	23.62
THA_F1_Ja__P1_thai	94	5	23.5	21.04
THA_F1_Ja__P2_thai	86	7	21.32	18.43
THA_F1_Ja__P3_thai	105	10	27.45	23.4
THA_F1_Ja__P8_thai	89	8	23.08	19.16
THA_F1_Ja__P9_thai	94	7	22.38	18.9
THA_F1_Ja__Q0_thai	76	6	20.2	16.73
THA_F1_Ja__Q1_thai	67	5	18.81	15.55
THA_F2_Si__O1	70	3	15.23	12.65
THA_F2_Si__O2	90	5	19.55	15.55
THA_F2_Si__O3	104	7	22.85	18.22
THA_F2_Si__O4	102	6	23.31	19.28
THA_F2_Si__O6	87	5	18.95	15.64
THA_F2_Si__O8	102	7	23.59	19.46
THA_F2_Si__O9	64	5	16.11	12.27
THA_F2_Si__P0	119	6	26.33	21.65
THA_F2_Si__P1	111	5	22.94	19.3
THA_F2_Si__P2	80	5	20.06	16.27
THA_F2_Si__P3	105	7	24.24	18.98
THA_F2_Si__P8	87	5	20.99	17.27
THA_F2_Si__P9	82	4	19.74	16.33
THA_F2_Si__Q0	78	3	17.79	14.67
THA_F2_Si__Q1	59	4	14.21	11.27
THA_F3_Fa__O1_thai	74	6	17.88	15.17
THA_F3_Fa__O2_thai	81	5	19.23	15.67
THA_F3_Fa__O3_thai	103	7	22.89	19.15
THA_F3_Fa__O4_thai	119	9	28.42	24.19
THA_F3_Fa__O6_thai	91	6	21.59	18.1
THA_F3_Fa__O8_thai	108	9	24.8	21.23
THA_F3_Fa__O9_thai	63	5	16.53	13.13
THA_F3_Fa__P0_thai	117	7	27.72	24.03
THA_F3_Fa__P1_thai	117	6	25.73	21.93
THA_F3_Fa__P2_thai	80	5	20.94	17.79
THA_F3_Fa__P3_thai	108	7	25.17	21.15
THA_F3_Fa__P8_thai	99	9	22.2	17.87
THA_F3_Fa__P9_thai	95	9	22.66	18.54
THA_F3_Fa__Q0_thai	83	6	19.32	15.72
THA_F3_Fa__Q1_thai	57	5	15.19	12.47
THA_F5_Ki__O1	71	6	19.09	14.35
THA_F5_Ki__O2	77	4	19.97	16.04
THA_F5_Ki__O3	92	9	23.59	18.27
THA_F5_Ki__O4	107	6	25.73	19.97
THA_F5_Ki__O6	84	5	20.25	16.26
THA_F5_Ki__O8	96	6	24.61	18.67
THA_F5_Ki__O9	72	4	17.65	13.59
THA_F5_Ki__P0	118	11	31.21	24.4
THA_F5_Ki__P1	99	7	26.38	21.06
THA_F5_Ki__P2	88	5	21.83	17.45
THA_F5_Ki__P3	104	7	26.05	20.84
THA_F5_Ki__P8	87	7	23.08	17.98
THA_F5_Ki__P9	86	10	27.77	18.83
THA_F5_Ki__Q0	69	6	19.23	15
THA_F5_Ki__Q1	60	4	16.44	12.6
THA_F7_Pi__O1	77	7	23.82	17.83
THA_F7_Pi__O2	78	6	24.61	16.82
THA_F7_Pi__O3	94	9	27.54	20.5
THA_F7_Pi__O4	99	7	62.09	23.46
THA_F7_Pi__O6	81	7	26.47	17.67
THA_F7_Pi__O8	97	8	32.42	22.84
THA_F7_Pi__O9	63	6	21.55	13.96
THA_F7_Pi__P0	102	6	31.49	23.94
THA_F7_Pi__P1	96	5	56.61	21.49
THA_F7_Pi__P2	80	9	26.38	18
THA_F7_Pi__P3	102	9	31.39	22.69
THA_F7_Pi__P8	90	6	27.59	19.83
THA_F7_Pi__P9	79	7	25.26	18.24
THA_F7_Pi__Q0	74	7	24.33	17.19
THA_F7_Pi__Q1	65	4	21.41	14.28
THA_M1_Pa__O1	65	4	15.79	12.51
THA_M1_Pa__O2	79	4	17.93	13.78
THA_M1_Pa__O3	91	6	23.78	18
THA_M1_Pa__O4	107	7	24.71	19.58
THA_M1_Pa__O6	78	7	21.13	15.57
THA_M1_Pa__O8	102	7	22.66	18.66
THA_M1_Pa__O9	56	4	13	10.25
THA_M1_Pa__P0	95	4	21.92	18.17
THA_M1_Pa__P1	100	5	22.89	19.72
THA_M1_Pa__P2	90	4	18.85	15.71
THA_M1_Pa__P3	105	10	23.68	18.56
THA_M1_Pa__P8	87	7	20.06	16.59
THA_M1_Pa__P9	84	5	20.53	15.54
THA_M1_Pa__Q0	80	8	18.44	14.39
THA_M1_Pa__Q1	57	3	14.77	11.33
THA_M2_Ra__O1	65	6	18.07	12.56
THA_M2_Ra__O2	80	5	21.64	15.19
THA_M2_Ra__O3	87	8	26.19	18.29
THA_M2_Ra__O4	106	12	33.44	21.28
THA_M2_Ra__O6	77	6	23.03	15.96
THA_M2_Ra__O8	97	7	26.56	18.59
THA_M2_Ra__O9	58	3	16.07	11.83
THA_M2_Ra__P0	101	8	27.03	20.59
THA_M2_Ra__P1	99	8	27.12	19.84
THA_M2_Ra__P2	82	7	23.73	17.54
THA_M2_Ra__P3	88	8	25.73	18.27
THA_M2_Ra__P8	85	6	23.45	17.24
THA_M2_Ra__P9	76	12	24.61	16.91
THA_M2_Ra__Q0	75	6	20.62	14.28
THA_M2_Ra__Q1	62	7	18.53	12.29
THA_M3_Shi__O1	63	3	14.58	12.71
THA_M3_Shi__O2	71	6	17.83	14.57
THA_M3_Shi__O3	82	5	20.62	17.3
THA_M3_Shi__O4	103	5	22.38	20.42
THA_M3_Shi__O6	74	3	16.44	15.04
THA_M3_Shi__O8	90	2	18.11	16.57
THA_M3_Shi__O9	54	4	14.02	11.08
THA_M3_Shi__P0	103	6	22.62	19.87
THA_M3_Shi__P1	87	7	21.36	18.23
THA_M3_Shi__P2	80	7	19.6	16.86
THA_M3_Shi__P3	85	4	19.13	17.33
THA_M3_Shi__P8	77	6	18.25	15.78
THA_M3_Shi__P9	77	7	17.28	14.7
THA_M3_Shi__Q0	66	3	15.51	14.16
THA_M3_Shi__Q1	53	4	13.84	11.21
THA_M4_Su__O1	65	5	15.14	12.11
THA_M4_Su__O2	80	8	19.69	14.07
THA_M4_Su__O3	90	8	21.69	17.4
THA_M4_Su__O4	110	9	23.68	18.81
THA_M4_Su__O6	81	5	18.76	15.7
THA_M4_Su__O8	100	7	20.99	17.06
THA_M4_Su__O9	60	5	15.05	11.79
THA_M4_Su__P0	101	9	24.71	20.98
THA_M4_Su__P1	93	11	24.66	19.12
THA_M4_Su__P2	87	9	20.43	16.62
THA_M4_Su__P3	88	8	21.18	17.07
THA_M4_Su__P8	71	4	18.02	15.43
THA_M4_Su__P9	72	8	19.41	15.44
THA_M4_Su__Q0	70	6	16.02	13.13
