soundname	 nsyll	 npause	 dur	 phonationtime
CMN_M1_Cha__O2	64	4	14.72	13.15
CMN_M1_Cha__O3	71	6	15.56	13.63
CMN_M1_Cha__O4	84	5	18.07	16.18
CMN_M1_Cha__O6	69	4	14.12	12.55
CMN_M1_Cha__O8	69	6	14.95	12.81
CMN_M1_Cha__O9	55	4	12.03	10.55
CMN_M1_Cha__P0	103	5	21.78	19.62
CMN_M1_Cha__P1	68	7	15.51	13.01
CMN_M1_Cha__P2	63	6	14.91	12.49
CMN_M1_Cha__P3	76	6	18.25	15.81
CMN_M1_Cha__P8	74	4	17.93	15.6
CMN_M1_Cha__P9	82	5	16.25	14.68
CMN_M1_Cha__Q0	69	6	15.42	13.45
CMN_M1_Cha__Q1	59	4	12.86	10.7
CMN_M2_Ye__O1	48	5	11.66	8.29
CMN_M2_Ye__O2	61	5	14.86	10.9
CMN_M2_Ye__O3	54	8	14.16	10.14
CMN_M2_Ye__O4	66	5	16.21	13.31
CMN_M2_Ye__O6	54	5	12.91	9.46
CMN_M2_Ye__O8	53	7	13.75	10.11
CMN_M2_Ye__O9	43	4	11.56	8.25
CMN_M2_Ye__P0	86	7	19.13	15.8
CMN_M2_Ye__P1	52	7	13.37	10.03
CMN_M2_Ye__P2	49	7	13.47	9.81
CMN_M2_Ye__P3	66	8	16.25	12.5
CMN_M2_Ye__P8	68	11	17.37	12.29
CMN_M2_Ye__P9	63	8	15.7	11.7
CMN_M2_Ye__Q0	59	8	14.12	10.29
CMN_M2_Ye__Q1	45	5	12.12	8.78
CMN_M4_Yi__O1	51	5	13.93	11.07
CMN_M4_Yi__O2	64	5	17.37	14.42
CMN_M4_Yi__O3	60	7	17	14.08
CMN_M4_Yi__O4	74	7	19.32	16.35
CMN_M4_Yi__O6	59	5	14.3	12.04
CMN_M4_Yi__O8	57	7	16.35	13.18
CMN_M4_Yi__O9	50	4	12.54	10.58
CMN_M4_Yi__P0	92	11	23.96	20.03
CMN_M4_Yi__P1	57	5	16.53	13.4
CMN_M4_Yi__P2	59	6	15.42	12.58
CMN_M4_Yi__P3	67	7	17.83	14.91
CMN_M4_Yi__P8	78	12	20.71	15.85
CMN_M4_Yi__P9	69	9	18.44	14.85
CMN_M4_Yi__Q0	58	9	16.58	13.17
CMN_M4_Yi__Q1	57	6	14.58	10.94
CMN_M5_Qi__O1	47	4	12.86	9.94
CMN_M5_Qi__O2	57	3	13.98	11.75
CMN_M5_Qi__O3	53	2	12.86	10.95
CMN_M5_Qi__O4	78	5	17.18	14.31
CMN_M5_Qi__O6	52	2	11.7	9.96
CMN_M5_Qi__O8	48	3	12.21	10.13
CMN_M5_Qi__O9	46	3	12.17	10.09
CMN_M5_Qi__P0	84	4	18.3	15.46
CMN_M5_Qi__P1	59	4	15.51	12.91
CMN_M5_Qi__P2	50	3	14.44	11.23
CMN_M5_Qi__P3	69	4	16.72	13.68
CMN_M5_Qi__P8	67	4	14.49	12.58
CMN_M5_Qi__P9	68	3	14.77	12.77
CMN_M5_Qi__Q0	57	4	13.75	11.32
CMN_M5_Qi__Q1	46	3	11.52	8.84
CMN_M6_Na__O1	47	3	11.05	9.54
CMN_M6_Na__O2	62	5	12.82	10.49
CMN_M6_Na__O3	64	7	13.89	11.51
CMN_M6_Na__O4	77	5	15.46	13.38
CMN_M6_Na__O6	53	4	11.52	9.77
CMN_M6_Na__O8	58	6	12.03	9.85
CMN_M6_Na__O9	49	4	10.22	8.78
CMN_M6_Na__P0	87	8	19.13	16.12
CMN_M6_Na__P1	58	4	13.47	11.19
CMN_M6_Na__P2	57	6	12.91	10.74
CMN_M6_Na__P3	67	7	16.72	13.61
CMN_M6_Na__P8	70	6	15.09	12.76
CMN_M6_Na__P9	66	6	15.56	11.48
CMN_M6_Na__Q0	56	6	13.05	10.61
CMN_M6_Na__Q1	50	4	11.19	9.06
EUS_F1_Am__O1	75	3	15.7	12.89
EUS_F1_Am__O2	86	4	17.09	13.56
EUS_F1_Am__O3	85	4	18.11	14.24
EUS_F1_Am__O4	95	6	20.02	16.06
EUS_F1_Am__O6	75	3	14.81	11.89
EUS_F1_Am__O8	85	5	18.85	14.78
EUS_F1_Am__O9	45	4	10.4	7.14
EUS_F1_Am__P0	105	8	22.76	18.01
EUS_F1_Am__P1	88	4	17.79	14.05
EUS_F1_Am__P2	78	4	14.68	12.03
EUS_F1_Am__P3	86	5	18.16	13.92
EUS_F1_Am__P8	81	7	19.32	14.66
EUS_F1_Am__P9	83	7	18.2	14.16
EUS_F1_Am__Q0	83	5	17.69	14.16
EUS_F1_Am__Q1	65	5	14.68	10.72
EUS_F2_Ux__O1	81	4	17.51	14.2
EUS_F2_Ux__O2	90	4	17.79	14.91
EUS_F2_Ux__O3	91	6	20.34	16.6
EUS_F2_Ux__O4	101	6	23.17	18.96
EUS_F2_Ux__O6	74	6	18.76	14.87
EUS_F2_Ux__O8	98	6	22.48	18.47
EUS_F2_Ux__O9	49	5	11.75	9.17
EUS_F2_Ux__P0	109	8	24.01	19.63
EUS_F2_Ux__P1	86	5	19.41	16.08
EUS_F2_Ux__P2	87	9	19.37	15.51
EUS_F2_Ux__P3	93	7	20.94	17.27
EUS_F2_Ux__P8	89	6	20.39	17.21
EUS_F2_Ux__P9	91	10	22.38	16.9
EUS_F2_Ux__Q0	92	6	20.48	16.95
EUS_F2_Ux__Q1	75	8	17.14	12.84
EUS_F3_En__O1	90	4	16.63	13.72
EUS_F3_En__O2	92	6	18.02	14.51
EUS_F3_En__O3	90	6	21.04	16.28
EUS_F3_En__O4	105	7	22.2	17.92
EUS_F3_En__O6	81	6	17.41	14.25
EUS_F3_En__O8	92	5	20.15	16.8
EUS_F3_En__O9	51	4	11.1	8.64
EUS_F3_En__P0	110	7	23.41	19.46
EUS_F3_En__P1	94	8	20.02	16.15
EUS_F3_En__P2	86	6	17.09	14
EUS_F3_En__P3	91	4	18.39	15.47
EUS_F3_En__P8	88	6	18.95	15.48
EUS_F3_En__P9	98	7	19.23	15.05
EUS_F3_En__Q0	95	7	20.06	16.24
EUS_F3_En__Q1	68	4	15.28	12.22
EUS_F4_Ux2__O1	83	7	18.48	14.37
EUS_F4_Ux2__O2	90	6	21.46	16.43
EUS_F4_Ux2__O3	96	8	21.18	16.76
EUS_F4_Ux2__O4	103	8	23.96	18.98
EUS_F4_Ux2__O6	81	5	20.06	15.56
EUS_F4_Ux2__O8	117	6	24.85	20.54
EUS_F4_Ux2__O9	52	4	13.42	10.26
EUS_F4_Ux2__P0	119	6	24.1	20.47
EUS_F4_Ux2__P1	100	5	22.34	17.66
EUS_F4_Ux2__P2	88	4	19.46	15.42
EUS_F4_Ux2__P3	95	5	20.76	16.75
EUS_F4_Ux2__P8	100	4	21.5	17.89
EUS_F4_Ux2__P9	94	6	21.27	17.33
EUS_F4_Ux2__Q0	108	4	21.32	18.1
EUS_F4_Ux2__Q1	73	4	15.93	12.87
EUS_F5_Am2__O1	75	3	16.07	12.83
EUS_F5_Am2__O2	91	6	20.25	15.28
EUS_F5_Am2__O3	91	8	21.32	15.56
EUS_F5_Am2__O4	103	7	21.08	16.98
EUS_F5_Am2__O6	75	4	16.63	13.44
EUS_F5_Am2__O8	104	3	20.62	16.68
EUS_F5_Am2__O9	52	5	11.24	8.27
EUS_F5_Am2__P0	107	5	21.41	18.37
EUS_F5_Am2__P1	98	6	19.46	15.25
EUS_F5_Am2__P2	85	2	14.91	12.86
EUS_F5_Am2__P3	89	6	18.81	14.96
EUS_F5_Am2__P8	86	5	18.76	15.31
EUS_F5_Am2__P9	93	5	19.32	15.49
EUS_F5_Am2__Q0	93	4	20.81	16.39
EUS_F5_Am2__Q1	64	5	15.05	11.19
EUS_M1_Bo__O1	73	5	15.09	11.9
EUS_M1_Bo__O2	81	4	16.21	12.97
EUS_M1_Bo__O3	79	3	16.81	13.67
EUS_M1_Bo__O4	102	7	19.18	15.6
EUS_M1_Bo__O6	76	4	14.35	11.76
EUS_M1_Bo__O8	102	5	18.72	14.92
EUS_M1_Bo__O9	43	4	9.98	7.44
EUS_M1_Bo__P0	107	6	21.5	17.66
EUS_M1_Bo__P1	93	4	16.58	13.63
EUS_M1_Bo__P2	85	6	16.21	12.62
EUS_M1_Bo__P3	87	6	17.55	13.76
EUS_M1_Bo__P8	88	4	20.11	16.22
EUS_M1_Bo__P9	85	5	17.88	14.7
EUS_M1_Bo__Q0	95	4	18.99	15.66
EUS_M1_Bo__Q1	66	4	13.84	10.8
EUS_M2_Ai__O1	78	7	20.06	14.52
EUS_M2_Ai__O2	82	6	21.36	15.8
EUS_M2_Ai__O3	74	7	21.97	15.23
EUS_M2_Ai__O4	95	10	24.57	17.92
EUS_M2_Ai__O6	79	7	18.58	13.85
EUS_M2_Ai__O8	87	7	23.41	17.25
EUS_M2_Ai__O9	46	4	11.98	8.49
EUS_M2_Ai__P0	102	14	28.61	19.41
EUS_M2_Ai__P1	81	7	20.53	15.23
EUS_M2_Ai__P2	72	7	18.53	13.39
EUS_M2_Ai__P3	83	8	21.64	15.41
EUS_M2_Ai__P8	76	10	22.71	15.98
EUS_M2_Ai__P9	80	8	23.08	15.67
EUS_M2_Ai__Q0	71	8	21.83	15.58
EUS_M2_Ai__Q1	51	5	16.21	11.4
EUS_M3_An__O1	68	4	15.51	11.47
EUS_M3_An__O2	75	4	15.33	11.98
EUS_M3_An__O3	81	4	17.65	14.21
EUS_M3_An__O4	100	6	19.18	15.19
EUS_M3_An__O6	79	3	15.19	12.05
EUS_M3_An__O8	91	4	19.04	15.48
EUS_M3_An__O9	40	4	10.31	7.31
EUS_M3_An__P0	105	4	21.59	17.51
EUS_M3_An__P1	86	4	17.46	13.7
EUS_M3_An__P2	82	4	15.51	11.81
EUS_M3_An__P3	83	4	17.74	13.83
EUS_M3_An__P8	78	4	18.2	14.74
EUS_M3_An__P9	85	5	17.37	13.75
EUS_M3_An__Q0	80	3	17.6	14.57
EUS_M3_An__Q1	58	4	13.14	10.07
EUS_M4_In__O1	89	7	19.83	14.84
EUS_M4_In__O2	89	6	21.69	15.95
EUS_M4_In__O3	89	7	22.2	16.38
EUS_M4_In__O4	106	7	24.89	19.11
EUS_M4_In__O6	88	4	19.64	15.68
EUS_M4_In__O8	103	7	24.24	18.64
EUS_M4_In__O9	44	4	12.4	8.72
EUS_M4_In__P0	109	7	26.28	20.65
EUS_M4_In__P1	85	5	21.18	16.56
EUS_M4_In__P2	85	6	18.9	14.39
EUS_M4_In__P3	93	8	21.59	16.3
EUS_M4_In__P8	89	7	21.73	16.89
EUS_M4_In__P9	91	6	20.15	16.13
EUS_M4_In__Q0	90	7	20.62	16.59
EUS_M4_In__Q1	73	5	15.33	11.97
EUS_M5_Ax__O1	77	7	18.11	13.76
EUS_M5_Ax__O2	87	8	22.48	16.55
EUS_M5_Ax__O3	92	11	21.97	16.79
EUS_M5_Ax__O4	109	14	30.23	21.53
EUS_M5_Ax__O6	82	7	21.55	16.13
EUS_M5_Ax__O8	109	12	27.63	20.77
EUS_M5_Ax__O9	45	4	12.21	9.62
EUS_M5_Ax__P0	111	12	27.91	21.28
EUS_M5_Ax__P1	101	10	26.56	19.06
EUS_M5_Ax__P2	86	8	21.87	16
EUS_M5_Ax__P3	97	11	26.98	18.12
EUS_M5_Ax__P8	90	10	24.52	18.03
EUS_M5_Ax__P9	89	11	23.36	18.2
EUS_M5_Ax__Q0	100	9	25.82	18.95
EUS_M5_Ax__Q1	66	6	17.41	13.05
FIN_F1_Ul__O1	62	5	18.67	12
FIN_F1_Ul__O2	82	6	21.78	14.92
FIN_F1_Ul__O3	84	7	19.97	14.12
FIN_F1_Ul__O4	95	9	24.43	17.28
FIN_F1_Ul__O6	60	6	18.62	11.82
FIN_F1_Ul__O8	90	9	22.62	15.05
FIN_F1_Ul__O9	50	4	15.33	9.47
FIN_F1_Ul__P0	85	8	21.46	15.62
FIN_F1_Ul__P1	82	6	21.59	14.62
FIN_F1_Ul__P2	74	5	19.04	12.92
FIN_F1_Ul__P3	92	9	23.73	15.37
FIN_F1_Ul__P8	73	5	19.6	13.75
FIN_F1_Ul__P9	85	6	23.13	15.54
FIN_F1_Ul__Q0	79	6	22.06	15.59
FIN_F1_Ul__Q1	58	5	17.18	10.71
FIN_F2_Re__O1	62	4	15.7	11.79
FIN_F2_Re__O2	72	4	19.13	13.39
FIN_F2_Re__O3	83	5	19.46	14.22
FIN_F2_Re__O4	95	5	21.59	16.58
FIN_F2_Re__O6	59	4	16.16	11.72
FIN_F2_Re__O8	75	5	19.5	14.36
FIN_F2_Re__O9	46	4	13.51	9.47
FIN_F2_Re__P0	82	8	20.9	14.85
FIN_F2_Re__P1	89	7	19.74	14.98
FIN_F2_Re__P2	79	5	18.58	14.02
FIN_F2_Re__P3	89	7	21.59	15.77
FIN_F2_Re__P8	77	7	19.41	13.41
FIN_F2_Re__P9	79	6	20.29	14.6
FIN_F2_Re__Q0	73	4	19.32	14.94
FIN_F2_Re__Q1	55	5	14.91	10.33
FIN_F3_Ki__O1	72	4	17.79	13.14
FIN_F3_Ki__O2	81	4	19.13	14.11
FIN_F3_Ki__O3	92	6	21.08	15.61
FIN_F3_Ki__O4	95	6	22.48	16.92
FIN_F3_Ki__O6	71	4	17.55	12.05
FIN_F3_Ki__O8	82	5	19.81	15.12
FIN_F3_Ki__O9	57	4	15.37	10.2
FIN_F3_Ki__P0	84	4	20.67	15.3
FIN_F3_Ki__P1	92	7	22.66	16.49
FIN_F3_Ki__P2	82	6	20.71	15.27
FIN_F3_Ki__P3	101	6	23.5	17.01
FIN_F3_Ki__P8	86	6	18.3	13.22
FIN_F3_Ki__P9	87	6	21.41	15.65
FIN_F3_Ki__Q0	83	3	19.04	14.99
FIN_F3_Ki__Q1	65	5	17	11.92
FIN_F4_Pri__O1	73	4	16.67	12.09
FIN_F4_Pri__O2	91	5	19.88	15.11
FIN_F4_Pri__O3	86	4	20.39	15.71
FIN_F4_Pri__O4	102	5	22.48	17.45
FIN_F4_Pri__O6	70	4	16.49	12.47
FIN_F4_Pri__O8	90	4	19.88	15.27
FIN_F4_Pri__O9	57	4	14.72	9.97
FIN_F4_Pri__P0	91	4	20.57	16.11
FIN_F4_Pri__P1	88	4	20.71	16.02
FIN_F4_Pri__P2	91	4	19.97	15.24
FIN_F4_Pri__P3	91	6	21.32	16.55
FIN_F4_Pri__P8	81	4	18.67	14.36
FIN_F4_Pri__P9	83	5	20.43	15.3
FIN_F4_Pri__Q0	86	3	20.57	16.21
FIN_F4_Pri__Q1	64	4	15.93	11.3
FIN_F5_Ma__O1	59	4	17.37	11.84
FIN_F5_Ma__O2	68	4	19.41	11.76
FIN_F5_Ma__O3	79	6	18.95	14.44
FIN_F5_Ma__O4	83	6	22.24	16.72
FIN_F5_Ma__O6	62	4	16.67	11.85
FIN_F5_Ma__O8	74	5	20.57	14.83
FIN_F5_Ma__O9	43	4	15	10.11
FIN_F5_Ma__P0	81	4	20.25	15.41
FIN_F5_Ma__P1	76	5	20.06	14.7
FIN_F5_Ma__P2	83	6	19.46	14.29
FIN_F5_Ma__P3	87	6	21.18	15.62
FIN_F5_Ma__P8	74	5	18.99	13.49
FIN_F5_Ma__P9	76	5	20.43	15.05
FIN_F5_Ma__Q0	71	5	20.48	15.13
FIN_F5_Ma__Q1	59	4	15.84	11.34
FIN_M1_Ee__O1	57	4	18.72	12.27
FIN_M1_Ee__O2	79	5	20.29	14.16
FIN_M1_Ee__O3	77	5	21.5	14.66
FIN_M1_Ee__O4	74	5	23.08	17.12
FIN_M1_Ee__O6	68	4	19.09	13.19
FIN_M1_Ee__O8	70	5	21.41	14.67
FIN_M1_Ee__O9	49	4	15.88	10.51
FIN_M1_Ee__P0	74	4	21.22	15.61
FIN_M1_Ee__P1	74	4	21.92	15.5
FIN_M1_Ee__P2	61	4	18.95	13.91
FIN_M1_Ee__P3	83	6	23.73	17.21
FIN_M1_Ee__P8	64	4	21.18	14.39
FIN_M1_Ee__P9	66	5	22.2	15.68
FIN_M1_Ee__Q0	63	4	21.13	15.52
FIN_M1_Ee__Q1	55	4	18.11	11.65
FIN_M2_He__O1	61	4	16.11	11.57
FIN_M2_He__O2	74	5	19.32	14.53
